Exchange,Primary,Market,Match1,Match2,HasOpg,HasMoc,HasLoc,TimeZone,LastMocTime,NearCloseTime,EarlyLastMocTime,EarlyNearCloseTime,LateLocTime,EarlyLateLocTime,WeeklyLastMocTime,LastOpenTime,AllHours
BVME.ETF,BVME.ETF,,,,0,0,0,MET,15:58:00,15:58:00,,,,,15:58:00,09:01:00,0
EBS,EBS,,,,0,0,0,MET,15:58:00,15:58:00,,,,,15:58:00,10:05:00,0
SW,EBS,,,,0,0,0,MET,15:58:00,15:58:00,,,,,15:58:00,10:05:00,0
IBIS2,IBIS2,,*.MI,,0,0,0,MET,15:58:00,15:58:00,,,,,15:58:00,09:01:00,0
AMS,AEB,,*.AS,,0,0,0,MET,17:38:00,17:38:00,,,,,17:38:00,09:01:00,0
ASX,ASX,,*.AX,*.AU,0,0,1,Australia/NSW,15:58:00,15:58:00,13:58:00,13:58:00,16:02:00,14:02:00,10:30:00,10:10:00,0
GER,IBIS,,*.DE,*.BN,0,0,0,MET,16:58:00,16:58:00,,,,,16:58:00,09:01:00,0
PAR,SBF,,*.PA,,0,0,0,MET,17:28:00,17:28:00,,,,,17:28:00,09:01:00,0
LSE*, LSE,,*.L,,0,0,0,MET,16:28:00,16:28:00,,,,,16:28:00,09:01:00,0
TSX Venture NEX,NEX,,*.CA,,0,0,1,US/Eastern,15:48:00,15:58:00,12:48:00,12:58:00,,,15:48:00,09:31:00,0
TSX Venture,VENTURE,,*.CA,,0,0,1,US/Eastern,15:48:00,15:58:00,12:48:00,12:58:00,,,15:48:00,09:31:00,0
TSX,TSE,,*.CA,*.TO,0,1,1,US/Eastern,15:48:00,15:58:00,12:48:00,12:58:00,,,15:48:00,09:31:00,0
CSE,PURE,,*.CA,,0,0,0,US/Eastern,15:48:00,15:58:00,12:48:00,12:58:00,,,15:48:00,09:31:00,0
NEO,AEQLIT,,*.CA,,0,0,0,US/Eastern,15:48:00,15:58:00,12:48:00,12:58:00,,,15:48:00,09:31:00,0
*,AMEX,,*,,0,1,1,US/Eastern,15:40:00,15:58:00,12:48:00,12:58:00,,,15:40:00,09:31:00,0
